Municipio Origem;UF Origem;Municipio Destino;UF Destino
Angra dos Reis;RJ;Rio de Janeiro;RJ
Aperibé;RJ;Rio de Janeiro;RJ
Araruama;RJ;Rio de Janeiro;RJ
Areal;RJ;Rio de Janeiro;RJ
Armação dos Búzios;RJ;Rio de Janeiro;RJ
Arraial do Cabo;RJ;Rio de Janeiro;RJ
Barra do Piraí;RJ;Rio de Janeiro;RJ
Barra Mansa;RJ;Rio de Janeiro;RJ
Belford Roxo;RJ;Rio de Janeiro;RJ
Bom Jardim;RJ;Rio de Janeiro;RJ
Bom Jesus do Itabapoana;RJ;Rio de Janeiro;RJ
Cabo Frio;RJ;Rio de Janeiro;RJ
Cachoeiras de Macacu;RJ;Rio de Janeiro;RJ
Cambuci;RJ;Rio de Janeiro;RJ
Campos dos Goytacazes;RJ;Rio de Janeiro;RJ
Cantagalo;RJ;Rio de Janeiro;RJ
Carapebus;RJ;Rio de Janeiro;RJ
Cardoso Moreira;RJ;Rio de Janeiro;RJ
Carmo;RJ;Rio de Janeiro;RJ
Casimiro de Abreu;RJ;Rio de Janeiro;RJ
Comendador Levy Gasparian;RJ;Rio de Janeiro;RJ
Conceição de Macabu;RJ;Rio de Janeiro;RJ
Cordeiro;RJ;Rio de Janeiro;RJ
Duas Barras;RJ;Rio de Janeiro;RJ
Duque de Caxias;RJ;Rio de Janeiro;RJ
Engenheiro Paulo de Frontin;RJ;Rio de Janeiro;RJ
Guapimirim;RJ;Rio de Janeiro;RJ
Iguaba Grande;RJ;Rio de Janeiro;RJ
Itaboraí;RJ;Rio de Janeiro;RJ
Itaguaí;RJ;Rio de Janeiro;RJ
Italva;RJ;Rio de Janeiro;RJ
Itaocara;RJ;Rio de Janeiro;RJ
Itaperuna;RJ;Rio de Janeiro;RJ
Itatiaia;RJ;Rio de Janeiro;RJ
Japeri;RJ;Rio de Janeiro;RJ
Laje do Muriaé;RJ;Rio de Janeiro;RJ
Macaé;RJ;Rio de Janeiro;RJ
Macuco;RJ;Rio de Janeiro;RJ
Magé;RJ;Rio de Janeiro;RJ
Mangaratiba;RJ;Rio de Janeiro;RJ
Maricá;RJ;Rio de Janeiro;RJ
Mendes;RJ;Rio de Janeiro;RJ
Mesquita;RJ;Rio de Janeiro;RJ
Miguel Pereira;RJ;Rio de Janeiro;RJ
Miracema;RJ;Rio de Janeiro;RJ
Natividade;RJ;Rio de Janeiro;RJ
Nilópolis;RJ;Rio de Janeiro;RJ
Niterói;RJ;Rio de Janeiro;RJ
Nova Friburgo;RJ;Rio de Janeiro;RJ
Nova Iguaçu;RJ;Rio de Janeiro;RJ
Paracambi;RJ;Rio de Janeiro;RJ
Paraíba do Sul;RJ;Rio de Janeiro;RJ
Parati;RJ;Rio de Janeiro;RJ
Paty do Alferes;RJ;Rio de Janeiro;RJ
Petrópolis;RJ;Rio de Janeiro;RJ
Pinheiral;RJ;Rio de Janeiro;RJ
Piraí;RJ;Rio de Janeiro;RJ
Porciúncula;RJ;Rio de Janeiro;RJ
Porto Real;RJ;Rio de Janeiro;RJ
Quatis;RJ;Rio de Janeiro;RJ
Queimados;RJ;Rio de Janeiro;RJ
Quissamã;RJ;Rio de Janeiro;RJ
Resende;RJ;Rio de Janeiro;RJ
Rio Bonito;RJ;Rio de Janeiro;RJ
Rio Claro;RJ;Rio de Janeiro;RJ
Rio das Flores;RJ;Rio de Janeiro;RJ
Rio das Ostras;RJ;Rio de Janeiro;RJ
Rio de Janeiro;RJ;Rio de Janeiro;RJ
Santa Maria Madalena;RJ;Rio de Janeiro;RJ
Santo Antônio de Pádua;RJ;Rio de Janeiro;RJ
São Fidélis;RJ;Rio de Janeiro;RJ
São Francisco de Itabapoana;RJ;Rio de Janeiro;RJ
São Gonçalo;RJ;Rio de Janeiro;RJ
São João da Barra;RJ;Rio de Janeiro;RJ
São João de Meriti;RJ;Rio de Janeiro;RJ
São José de Ubá;RJ;Rio de Janeiro;RJ
São José do Vale do Rio Preto;RJ;Rio de Janeiro;RJ
São Pedro da Aldeia;RJ;Rio de Janeiro;RJ
São Sebastião do Alto;RJ;Rio de Janeiro;RJ
Sapucaia;RJ;Rio de Janeiro;RJ
Saquarema;RJ;Rio de Janeiro;RJ
Seropédica;RJ;Rio de Janeiro;RJ
Silva Jardim;RJ;Rio de Janeiro;RJ
Sumidouro;RJ;Rio de Janeiro;RJ
Tanguá;RJ;Rio de Janeiro;RJ
Teresópolis;RJ;Rio de Janeiro;RJ
Trajano de Morais;RJ;Rio de Janeiro;RJ
Três Rios;RJ;Rio de Janeiro;RJ
Valença;RJ;Rio de Janeiro;RJ
Varre-Sai;RJ;Rio de Janeiro;RJ
Vassouras;RJ;Rio de Janeiro;RJ
Volta Redonda;RJ;Rio de Janeiro;RJ
